分类目录;机型;储藏条件;商品编号;商品名称（简称）;通用名（注册证名称）;单位;规格;注册证号/备案凭证号;批准文号有效期至;厂商全名
血液分析系统;XS系列;2℃-35℃;88408711;CP;血细胞分析用稀释液;桶;20L;鲁济械备20140126号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XS系列;2℃-35℃;S01000;POC-CP;血细胞分析用稀释液;桶;20L;鲁济械备20140128号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XS系列;2℃-30℃;90411317;SLS-210A;血红蛋白检测试剂;瓶;500ml;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XS系列;2℃-30℃;90411414;SLS-220A;血红蛋白检测试剂;桶;5L;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XS系列;2℃-35℃;05433212;STR-4DL   XS;溶血剂;盒;2L;国食药监械(进)字2013第1400283号;2017-1-19;希森美康株式会社
血液分析系统;XS系列;2℃-35℃;ZG900003;STR-4DL;全自动血液分析仪用溶血剂;桶;5L;苏锡食药监械(准)字2013第1400006号;2017-2-21;希森美康生物科技（无锡）有限公司
血液分析系统;XS系列;2℃-35℃;98417216;STR-4DS;染色液;袋;42ml;国食药监械(进)字2013第1400282号;2017-1-17;希森美康株式会社
血液分析系统;XS系列;1℃-30℃;83401621;CC;清洗液;瓶;50ml;非医疗器械;2050-12-31;希森美康株式会社
血液分析系统;XS系列;2℃-8℃;05438619;e-CHECK(XS) L1;血液分析仪用质控品;瓶;1.5ml;国食药监（进）字2013第2400718号;2017-2-6;希森美康株式会社
血液分析系统;XS系列;2℃-8℃;05438511;e-CHECK(XS) L2;血液分析仪用质控品;瓶;1.5ml;国食药监（进）字2013第2400718号;2017-2-6;希森美康株式会社
血液分析系统;XS系列;2℃-8℃;05439011;e-CHECK(XS) L3;血液分析仪用质控品;瓶;1.5ml;国食药监（进）字2013第2400718号;2017-2-6;希森美康株式会社
血液分析系统;XS系列;2℃-8℃;017407314;SCS-1000;血细胞分析仪用校准品;瓶;2.0ml;国食药监械（进）字2013第2400722号;2017-2-6;希森美康株式会社
血液分析系统;XT系列;2℃-35℃;88408711;CP;血细胞分析用稀释液;桶;20L;鲁济械备20140126号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XT系列;2℃-35℃;S01000;POC-CP;血细胞分析用稀释液;桶;20L;鲁济械备20140128号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XT系列;2℃-30℃;90411317;SLS-210A;血红蛋白检测试剂;瓶;500ml;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XT系列;2℃-30℃;90411414;SLS-220A;血红蛋白检测试剂;桶;5L;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XT系列;2℃-35℃;05433212;STR-4DL   XS;溶血剂;盒;2L;国食药监械(进)字2013第1400283号;2017-1-19;希森美康株式会社
血液分析系统;XT系列;2℃-35℃;ZG900003;STR-4DL;全自动血液分析仪用溶血剂;桶;5L;苏锡食药监械(准)字2013第1400006号;2017-2-21;希森美康生物科技（无锡）有限公司
